St  Name                           Version                        Arch   Description                                                  Licenses
--  ----                           -------                        ----   -----------                                                  --------
ii  adduser                        3.115                          all    add and remove users and groups                              GPL-2
ii  alsa-tools                     1.1.3-1                        armhf  Console based ALSA utilities for specific hardware           GPL-2 GPL-2+ ISC
ii  alsa-utils                     1.1.3-1                        armhf  Utilities for configuring and using ALSA                     LPGL-2.1+
ii  apt                            1.4.11                         armhf  commandline package manager                                  GPL-2
ii  apt-listchanges                3.10                           all    package change history notification tool                     GPL-2+
ii  apt-transport-https            1.4.11                         armhf  https download transport for APT                             GPL-2
ii  apt-utils                      1.4.11                         armhf  package management related utility programs                  GPL-2
ii  aptitude                       0.8.7-1                        armhf  terminal-based package manager                               GPL-2+
ii  aptitude-common                0.8.7-1                        all    architecture independent files for the aptitude package mana GPL-2+
ii  arduino-core                   2:1.0.5+dfsg2-4.1              all    Code, examples, and libraries for the Arduino platform       BSD CC-BY-SA-3.0 Expat GPL-2 GPL-2+ GPL-3 GPL-3+ ISC LGPL-2.1+ LGPL-2.1+ or GPL-2 MIT ZLIB other public-domain
ii  arduino-mk                     1.5.2-1                        all    Program your Arduino from the command line                   LGPL-2.1+
ii  autoconf                       2.69-10                        all    automatic configure script builder                           GFDL-1.3+ GPL-2+ GPL-2+ with Autoconf exception GPL-3+ GPL-3+ with Autoconf exception GPL-3+ with Texinfo exception MIT-X-Consortium no-modification other permissive permissive-long-disclaimer permissive-short-disclaimer permissive-without-disclaimer permissive-without-notices-or-disclaimer
ii  automake                       1:1.15-6                       all    Tool for generating GNU Standards-compliant Makefiles        GFDL-NIV-1.3+ GPL-2+ GPL-3+ permissive
ii  autotools-dev                  20161112.1                     all    Update infrastructure for config.{guess,sub} files           GPL
ii  avahi-daemon                   0.6.32-2                       armhf  Avahi mDNS/DNS-SD daemon                                     GPL GPL-2 LGPL-2.1
ii  avahi-utils                    0.6.32-2                       armhf  Avahi browsing, publishing and discovery utilities           GPL GPL-2 LGPL-2.1
ii  avr-libc                       1:2.0.0+Atmel3.6.1-1~rpt1      all    Standard C library for Atmel AVR development                 BSD License GPL-compatible
ii  avrdude                        6.3+r1425-1+rpt1               armhf  software for programming Atmel AVR microcontrollers          GPL-2
ii  base-files                     9.9+rpi1+deb9u13               armhf  Debian base system miscellaneous files                       GPL
ii  base-passwd                    3.5.43                         armhf  Debian base system master password and group files           GPL-2
ii  bash                           4.4-5                          armhf  GNU Bourne Again SHell                                       GPL-3
ii  bash-completion                1:2.1-4.3                      all    programmable completion for the bash shell                   GPL-2+
ii  bind9-host                     1:9.10.3.dfsg.P4-12.3+deb9u8   armhf  Version of 'host' bundled with BIND 9.X                      unknown
ii  binutils                       2.28-5                         armhf  GNU assembler, linker and binary utilities                   GFDL GPL LGPL
ii  binutils-avr                   2.26.20160125+Atmel3.6.1-1~rpt armhf  Binary utilities supporting Atmel's AVR targets              GFDL GPL LGPL
ii  blends-tasks                   0.6.96                         all    Debian Pure Blends tasks for new installations               GPL-2+
ii  bluez                          5.43-2+rpt2+deb9u2             armhf  Bluetooth tools and daemons                                  Apache-2.0 BSD-2-clause Expat GPL-2 GPL-2+ LGPL-2.1+
ii  bluez-firmware                 1.2-3+rpt7                     all    Firmware for Bluetooth devices                               GPL-2+ cypress-wireless
ii  bsdmainutils                   9.0.12+nmu1                    armhf  collection of more utilities from FreeBSD                    unknown
ii  bsdutils                       1:2.29.2-1+deb9u1              armhf  basic utilities from 4.4BSD-Lite                             BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  build-essential                12.3                           armhf  Informational list of build-essential packages               GPL
ii  bzip2                          1.0.6-8.1                      armhf  high-quality block-sorting file compressor - utilities       GPL-2
ii  ca-certificates                20200601~deb9u2                all    Common CA certificates                                       GPL-2+ MPL-2.0
ii  camlp4                         4.02.1+3-2                     armhf  Pre Processor Pretty Printer for OCaml                       LGPL-2-exc
ii  caps                           0.9.24-4                       armhf  C* Audio Plugin Suite                                        GPL-3+
ii  console-setup                  1.164                          all    console font and keymap setup program                        GPL-2
ii  console-setup-linux            1.164                          all    Linux specific part of console-setup                         GPL-2
ii  coreutils                      8.26-3                         armhf  GNU core utilities                                           GPL-3
ii  cpio                           2.11+dfsg-6                    armhf  GNU cpio -- a program to manage archives of files            GPL-3
ii  cpp                            4:6.3.0-4                      armhf  GNU C preprocessor (cpp)                                     GPL
ii  cpp-6                          6.3.0-18+rpi1+deb9u1           armhf  GNU C preprocessor                                           Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  crda                           3.18-1                         armhf  wireless Central Regulatory Domain Agent                     ISC copyleft-next-0.3.0
ii  cron                           3.0pl1-128+deb9u1              armhf  process scheduling daemon                                    Artistic GPL-2+ ISC Paul-Vixie's-license
ii  curl                           7.52.1-5+deb9u13               armhf  command line tool for transferring data with URL syntax      BSD-3-Clause BSD-4-Clause ISC curl other public-domain
ii  dash                           0.5.8-2.4                      armhf  POSIX-compliant shell                                        GPL
ii  dbus                           1.10.32-0+deb9u1               armhf  simple interprocess messaging system (daemon and utilities)  AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish g10-permissive
ii  dc                             1.06.95-9                      armhf  GNU dc arbitrary precision reverse-polish calculator         GPL-2.0+ GPL-2.0+ with Texinfo exception X11 permissive public-domain
ii  debconf                        1.5.61                         all    Debian configuration management system                       BSD-2-clause
ii  debconf-i18n                   1.5.61                         all    full internationalization support for debconf                BSD-2-clause
ii  debconf-utils                  1.5.61                         all    debconf utilities                                            BSD-2-clause
ii  debianutils                    4.8.1.1                        armhf  Miscellaneous utilities specific to Debian                   GPL
ii  device-tree-compiler           1.4.4-1                        armhf  Device Tree Compiler for Flat Device Trees                   GPL
ii  dh-python                      2.20170125                     all    Debian helper tools for packaging Python libraries and appli Expat
ii  dhcpcd5                        1:6.11.5-1+rpt7                armhf  DHCPv4, IPv6RA and DHCPv6 client with IPv4LL support         BSD-2
ii  diffutils                      1:3.5-3                        armhf  File comparison utilities                                    GFDL GPL
ii  distro-info-data               0.36                           all    information about the distributions' releases (data files)   ISC
ii  dmidecode                      3.0-4                          armhf  SMBIOS/DMI table decoder                                     GPL-2+
ii  dmsetup                        2:1.02.137-2                   armhf  Linux Kernel Device Mapper userspace library                 GPL-2 LGPL-2.1
ii  dns-root-data                  2019031302~deb9u1              all    DNS root data including root zone and DNSSEC key             Expat
ii  doc-base                       0.10.7                         all    utilities to manage online documentation                     GPL-2+
ii  dosfstools                     4.1-1                          armhf  utilities for making and checking MS-DOS FAT filesystems     GPL-3+ public-domain
ii  dphys-swapfile                 20100506-3                     all    Autogenerate and use a swap file                             BSD-3-Clause BSD-3-Clause or GPL-2+ GPL-2+ GPL-3
